TIPO;ID;CODIGO;DESCRICAO;ANT;ATUAL;TOTAL;PERCANT;PERCATUAL;PERCTOTAL;FILTRO;
0;0;0;RECEITAS RESULTANTE DE IMPOSTOS (Caput do art. 212 da Constituição);0;0;0;0;0;0;NDA;
1;1;1;1. RECEITAS DE IMPOSTOS;20461561,38;6234349,78;0;3069234,207;935152,467;0;SOMA;
1;2;1.1;   1.1 - Receita Resultante do Imposto sobre a Propriedade Predial e Terrítorial Urbana - IPTU;5747067,5;1619252,98;0;862060,125;242887,947;0;SOMA;
1;3;1.1.1;      1.1.1 - IPTU;4796492,34;1365001,58;0;719473,851;204750,237;0;SQL;
1;4;1.1.2;      1.1.2 - Multas, Juros de Mora, Dívida Ativa e Outros Encargos do IPTU;950575,16;254251,4;0;142586,274;38137,71;0;SQL;
1;5;1.2;   1.2 - Receitas Resultante do Imposto sobre Transmissão Inter Vivos - ITBI;480860,68;146717,83;0;72129,102;22007,6745;0;SOMA;
1;6;1.2.1;      1.2.1 - ITBI;446083,54;146698,49;0;66912,531;22004,7735;0;SQL;
1;7;1.2.2;      1.2.2 - Multas, Juros de Mora, Dívida Ativa e Outros Encargos do ITBI;34777,14;19,34;0;5216,571;2,901;0;SQL;
1;8;1.3;   1.3 - Receitas Resultante do Imposto sobre Serviços de Qualquer Natureza - ISS;9529558,08;2801743,23;0;1429433,712;420261,4845;0;SOMA;
1;9;1.3.1;      1.3.1 - ISS;7789541,84;2634553,96;0;1168431,276;395183,094;0;SQL;
1;10;1.3.2;      1.3.2 - Multas, Juros de Mora, Dívida Ativa e Outros Encargos do ISS;1740016,24;167189,27;0;261002,436;25078,3905;0;SQL;
1;11;1.4;   1.4 - Receitas Resultante do Imposto de Renda Retido na Fonte - IRRF;4704075,12;1666635,74;0;705611,268;249995,361;0;SQL;
2;12;2;2. RECEITAS DE TRANSFERÊNCIAS CONSTITUCIONAIS E LEGAIS;93824438,47;40393627,34;0;14073665,7705;6059044,101;0;SOMA;
2;13;2.1;   2.1 - Cota-Parte FPM;35870963,8;16203647,87;0;5380644,57;2430547,1805;0;SQL;
2;14;2.2;   2.2 - Cota-Parte ITR;2747308,63;116295,88;0;412096,2945;17444,382;0;SQL;
2;15;2.3;   2.3 - Cota-Parte IPVA;6348225,68;5390202,6;0;952233,852;808530,39;0;SQL;
2;16;2.4;   2.4 - Cota-Parte ICMS;48572072,2;18540978,38;0;7285810,83;2781146,757;0;SQL;
2;17;2.5;   2.5 - Cota-Parte IPI-Exportação;285868,16;142502,61;0;42880,224;21375,3915;0;SQL;
2;18;2.6;   2.6 - Compensação Financeiras Provenientes de Impostos e Transf. Constitucionais;0;0;0;0;0;0;SOMA;
2;19;2.6.1;      2.6.1 - Cota Parte do ICMS - Compensação art. 3º LC 194/2022;0;0;0;0;0;0;SQL;
2;20;2.6.2;      2.6.2 - Outras;0;0;0;0;0;0;SQL;
3;21;3;3 - TOTAL DAS RECEITAS  RESULTANTES DE IMPOSTOS E TRANSFERÊNCIAS CONSTITUCIONAIS E LEGAIS = (1 + 2);114285999,85;46627977,12;0;17142899,9775;6994196,568;0;SOMA;
